Unnamed: 0,sq_mt_built,n_rooms,n_bathrooms,street_name,street_number,floor,is_floor_under,neighborhood_id,operation,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east
0,64.0,2,1.0,Calle de Godella,64,3,0,Neighborhood 135: San Cristóbal (1308.89 €/m2) - District 21: Villaverde,sale,85000,1328,HouseType 1: Pisos,0,0,1960.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0
1,70.0,3,1.0,Calle de la del Manojo de Rosas,Brak,4,0,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,sale,129900,1856,HouseType 1: Pisos,1,0,1970.0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0
2,94.0,2,2.0,Calle del Talco,68,1,0,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,144247,1535,HouseType 1: Pisos,0,0,1970.0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0
3,64.0,2,1.0,Calle Pedro Jiménez,Brak,0,1,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,109900,1717,HouseType 1: Pisos,0,0,1955.0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0.0,0,0,1,0
4,108.0,2,2.0,Carretera de Villaverde a Vallecas,Brak,4,0,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,260000,2407,HouseType 1: Pisos,0,0,2003.0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0.0,1,1,1,1
5,126.0,4,2.0,geologia,Brak,3,0,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,195000,1548,HouseType 1: Pisos,0,0,1981.0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0.0,0,0,0,1
6,120.0,5,2.0,Avenida Real de Pinto,Brak,1,0,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,190000,1583,HouseType 1: Pisos,0,0,1970.0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0.0,0,0,1,0
7,125.0,3,2.0,Brak,Brak,2,0,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,198500,1588,HouseType 1: Pisos,0,0,1970.0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0.0,0,0,1,0
8,84.0,3,2.0,Brak,Brak,2,0,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,212000,2524,HouseType 1: Pisos,0,0,1970.0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0.0,0,0,0,0
9,85.0,2,1.0,Calle de Martinez Oviol,Brak,7,0,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,131400,1546,HouseType 1: Pisos,1,0,1950.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0,1,0,0
10,69.0,2,2.0,De la Plata - Villaverde,Brak,2,0,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,118000,1710,HouseType 1: Pisos,1,0,1963.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0
11,122.0,3,2.0,Brak,Brak,6,0,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,246900,2024,HouseType 1: Pisos,0,0,1970.0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0.0,0,0,0,0
12,123.0,3,2.0,Calle de la Unanimidad,67,4,0,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,195000,1585,HouseType 1: Pisos,0,0,1992.0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1
13,109.0,3,2.0,Calle de Anoeta,63,3,0,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,sale,205000,1881,HouseType 1: Pisos,0,0,1983.0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0.0,0,0,1,0
14,64.0,3,1.0,Calle GODELLA,Brak,3,0,Neighborhood 135: San Cristóbal (1308.89 €/m2) - District 21: Villaverde,sale,72000,1125,HouseType 1: Pisos,0,0,1960.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0
15,115.0,3,1.0,Calle San Macario,Brak,3,0,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,160000,1391,HouseType 1: Pisos,0,0,1970.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0.0,0,0,0,0
16,115.0,3,1.0,Brak,Brak,1,0,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,184900,1608,HouseType 1: Pisos,0,0,1970.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0
17,65.0,3,1.0,Brak,Brak,4,0,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,sale,90000,1385,HouseType 1: Pisos,0,0,1970.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0
18,75.0,3,1.0,Brak,Brak,3,0,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,129900,1732,HouseType 1: Pisos,1,0,1970.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0
